Date,State,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown
20200705,RI,16991,4616,1592,5899,NA,NA,NA,378,465,4041,5899,7051,4041,960,641,48,81,NA,NA,NA,0,12,178,81,701,178
20200705,SC,44847,15091,10826,NA,328,NA,NA,NA,3280,15648,4266,19909,20316,820,353,345,NA,7,NA,NA,NA,23,90,29,626,163
20200705,SD,7063,2464,978,1106,710,1074,NA,NA,731,0,1106,5957,0,97,NA,NA,NA,NA,NA,NA,NA,NA,97,NA,NA,NA
20200705,TN,51431,21111,10459,NA,632,72,48,NA,8266,10843,12392,24993,14046,646,361,228,NA,11,0,1,NA,39,6,58,579,9
20200705,TX,195239,5902,2710,8840,629,NA,NA,NA,121,177037,8840,9362,177037,2637,298,87,195,14,NA,NA,NA,1,2042,195,400,2042
20200705,UT,24952,8901,654,10590,561,613,945,NA,3192,2766,10590,11596,2766,184,100,5,44,9,10,11,NA,13,7,44,133,7
20200705,VA,65748,14068,9530,22232,2163,79,NA,218,1633,15825,22232,27691,15825,1853,996,410,203,104,2,NA,1,25,112,203,1538,112
20200705,VI,112,NA,NA,NA,NA,NA,NA,NA,NA,112,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
20200705,VT,1249,1040,125,NA,53,2,NA,0,23,6,42,1203,4,56,53,NA,NA,2,NA,NA,NA,1,0,0,56,0
20200705,WA,35898,9313,1436,11495,1480,441,784,541,660,9748,11495,14655,9748,1359,901,45,163,112,23,12,16,29,58,163,1138,58
20200705,WI,31577,17867,5412,NA,1164,297,NA,NA,3631,3206,9355,18595,3627,796,554,188,NA,23,10,NA,NA,10,11,91,692,13
20200705,WV,3335,2633,228,NA,NA,NA,NA,NA,474,0,NA,NA,NA,95,58,3,NA,NA,NA,NA,NA,NA,34,NA,NA,NA
20200705,WY,1312,734,15,194,7,320,5,NA,52,66,194,1133,66,20,9,0,1,0,9,NA,NA,0,1,1,19,1
